Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

POPULAR1MF     4.70     4.70     4.60     4.70   0.00     42       519884        2.435
PRIME1ICBA     5.10     5.20     5.10     5.20   1.96     16         9775        0.050
RELIANCE1      8.20     8.20     8.10     8.10  -1.22     17        75512        0.613
SEBL1STMF     11.80    11.90    11.60    11.90   0.00     14       284050        3.372
SEMLLECMF     10.20    10.20     9.90     9.90   0.00      2         1050        0.010
TRUSTB1MF      5.10     5.20     5.10     5.20   0.00     58       352415        1.811
VAMLBDMF1     10.10    10.10    10.00    10.10   0.00     31       143361        1.443
VAMLRBBF       8.40     8.50     8.30     8.40  -1.18     62        37600        0.315
                                                      ------    ---------    ---------
                                                        1260      6784281       46.036

MUTUAL FUNDs traded in Public Market              =   34


