Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

MIRACLEIND    60.90    62.00    58.80    61.70   2.66    995       529429       32.265
MONNOCERA     39.60    40.40    39.40    39.60  -0.75    101        39165        1.558
NORTHERN     223.40   229.50   220.10   227.40   4.03    184        13542        3.072
PREMIERLEA    13.50    13.80    13.30    13.50   0.00    329      1278651       17.278
SAFKOSPINN    13.80    14.20    13.50    13.90   0.00    361       389927        5.417
SALVOCHEM     15.70    15.70    15.20    15.30  -1.92    584       904160       13.943
                                                      ------    ---------    ---------
                                                        3837      5049237      103.273

B Group (Equity) scrips traded in Public Market   =   12



N Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

BNICL         18.00    18.00    17.50    17.60  -1.12    206       266687        4.715
DOREENPWR    107.00   110.00   103.80   108.90   2.83   2718      1271652      135.479
ETL           18.70    19.00    18.20    18.40  -1.08    496      1416624       26.190
FORTUNE       53.00    53.40    51.00    51.60  -2.27   2014      1240082       64.861
REGENTTEX     15.30    15.50    15.10    15.20  -0.65    533       926391       14.093
YPL           30.10    30.20    29.50    29.60  -0.67    746       725720       21.633
                                                      ------    ---------    ---------
                                                        6713      5847156      266.970

N Group (Equity) scrips traded in Public Market   =    6



Z Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ALLTEX        10.10    10.10     9.80     9.90  -1.00    146       254962        2.537
AZIZPIPES     65.50    72.80    65.50    68.90   3.45     54         7162        0.480
BANGAS       118.10   119.00   117.40   117.70  -0.51    103        15978        1.888
BDAUTOCA      77.00    77.00    72.70    75.60   1.34    120         5566        0.422
BDWELDING     10.50    10.60    10.30    10.50   0.96     59        51042        0.533
BEACHHATCH    10.20    10.40    10.10    10.10  -2.88     83        91451        0.935
BEACONPHAR    21.60    21.60    20.80    21.10  -1.40    382       446374        9.472
BIFC           9.30     9.30     9.10     9.20   1.10     67       118531        1.090
BXSYNTH        7.40     7.40     7.20     7.30  -1.35     89       127864        0.931
DACCADYE       7.60     7.60     7.30     7.40  -1.33     87       157139        1.165
DESHBANDHU    11.20    11.20    11.00    11.10  -2.63     76       105736        1.174
DULAMIACOT     7.30     7.30     7.20     7.20  -4.00      5         1200        0.009
FINEFOODS     23.20    24.30    23.10    23.70   3.95    200       109001        2.594
FIRSTFIN       8.90     8.90     8.40     8.50  -4.49    124       155752        1.344
ICBIBANK       4.00     4.10     4.00     4.00   0.00     53       228060        0.913
IMAMBUTTON    13.00    13.00    12.50    12.70  -2.31    131        78150        0.996
