Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ILFSL          9.70     9.80     9.70     9.80   0.00     86       283190        2.765
JANATAINS     12.80    12.80    12.40    12.60  -1.56     23        32635        0.410
MIRACLEIND    37.00    38.70    36.80    37.70  -3.08    883      1095026       41.517
MONNOCERA     36.10    36.80    35.90    36.40   1.68     77        20293        0.735
PREMIERLEA    10.20    10.40    10.00    10.10  -0.98    338      1412199       14.404
                                                      ------    ---------    ---------
                                                        2597      3417459       83.567

B Group (Equity) scrips traded in Public Market   =    7



N Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ACMELAB      103.30   104.90   102.80   103.10   0.10   1301       532823       55.283
BNICL         19.60    19.60    18.50    18.70  -4.10    658      1263684       24.010
DOREENPWR    114.50   115.50   110.50   114.00   0.71   2510       998869      112.793
DSSL          11.30    11.30    11.30    11.30   9.71    456      1758827       19.875
ETL           19.00    19.10    17.80    18.10  -3.72    563      1095854       20.255
FORTUNE       43.80    46.90    43.80    46.20   6.70   4103      3337560      153.041
ITC           48.40    48.50    46.70    46.90  -1.68   1205       706759       33.437
REGENTTEX     13.40    13.60    12.90    12.90  -1.53    576      1394460       18.359
SIMTEX        20.40    20.80    19.90    20.20   1.00    142       116538        2.361
                                                      ------    ---------    ---------
                                                       11514     11205374      439.415

N Group (Equity) scrips traded in Public Market   =    9



Z Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ALLTEX         8.70     9.30     8.70     9.20   6.98    161       191696        1.740
AZIZPIPES     68.00    68.00    61.80    64.80  -3.57     73        11089        0.732
BANGAS       115.00   121.90   115.00   121.90   9.92    141        15731        1.896
BDWELDING      8.80     9.10     8.80     9.00   0.00     35        39697        0.357
BIFC           7.70     7.70     7.50     7.60   0.00     32        30892        0.234
BXSYNTH        5.80     5.90     5.70     5.80  -1.69     28        52104        0.303
DULAMIACOT     7.20     7.70     7.20     7.30   4.29     10         5500        0.040
FIRSTFIN       7.00     7.10     7.00     7.00   1.45     21        48344        0.338
ICBIBANK       4.10     4.10     3.90     4.00   0.00     44       128956        0.515
MAKSONSPIN     7.00     7.10     6.90     7.00   0.00     82       219312        1.537
MIDASFIN      25.00    25.00    22.80    23.10  -7.60    275       295123        7.085
PADMALIFE     22.50    23.00    22.50    22.90   1.33     36        23790        0.542
PLFSL          6.70     6.90     6.70     6.80   0.00     82       166512        1.131
PRAGATILIF    89.90    89.90    87.00    87.80  -0.34     33         3772        0.332
PRIMEFIN       8.10     8.20     8.10     8.20   2.50     69       190230        1.554
PROGRESLIF    49.50    50.10    49.50    50.00   1.63      7          864        0.043
RAHIMAFOOD    86.60    88.00    84.10    84.90  -1.28    435        37077        3.181
RNSPIN        17.60    17.60    17.10    17.30  -0.57    239       308207        5.359
SONARGAON      9.00     9.00     8.60     8.60  -1.15     49        22385        0.195
SPCERAMICS     8.00     8.20     7.90     8.10   2.53     54        41209        0.332
SUNLIFEINS    17.90    18.00    17.70    17.90   0.56     15        19200        0.343
TALLUSPIN      8.20     8.40     8.10     8.20   1.23    100       125360        1.027
UNITEDAIR      4.60     4.70     4.50     4.50  -2.17    348      1045092        4.789
WMSHIPYARD    25.00    25.00    24.60    24.80  -0.80    170       185039        4.593
                                                      ------    ---------    ---------
                                                        2539      3207181       38.198

Z Group (Equity) scrips traded in Public Market   =   24



MUTUAL FUNDs
------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

1JANATAMF      4.90     5.00     4.90     4.90   0.00     68       165336        0.814
1STPRIMFMF     8.70     8.70     8.50     8.60   0.00     65       170566        1.468
ABB1STMF       4.90     5.00     4.90     4.90   0.00     28       267711        1.316
AIBL1STIMF     8.00     8.00     8.00     8.00   0.00      6        14000        0.112
ATCSLGF       10.30    10.40    10.30    10.40   0.97     10         9599        0.099
DBH1STMF       6.90     6.90     6.90     6.90   0.00     19        65070        0.449
EBL1STMF       5.10     5.20     5.00     5.00  -3.85     42       221609        1.121
EBLNRBMF       4.60     4.70     4.60     4.70   2.17      9        24319        0.114
EXIM1STMF      6.60     6.70     6.50     6.60   1.54     19        20144        0.133
FBFIF          5.60     5.70     5.60     5.60   0.00     13        29505        0.166
GRAMEENS2     10.40    10.50    10.30    10.40   0.00     20        30667        0.318
GREENDELMF     6.90     6.90     6.90     6.90   0.00     15        23980        0.165
ICB1STNRB     18.60    18.90    18.60    18.60  -0.53      6         5520        0.103
ICB2NDNRB      7.80     7.80     7.80     7.80  -1.27     16        67500        0.526
ICB3RDNRB      4.50     4.60     4.40     4.50   0.00     56       217884        0.980
ICBAMCL2ND     5.20     5.30     5.20     5.20  -1.89      9        23000        0.120
ICBEPMF1S1     5.90     6.00     5.90     5.90   0.00      7         3383        0.020
ICBSONALI1     6.00     6.00     6.00     6.00   0.00      5         7500        0.045
IFIC1STMF      4.80     4.90     4.80     4.80   0.00     18        26572        0.129
IFILISLMF1     6.70     6.70     6.60     6.70   0.00     13        18350        0.122
LRGLOBMF1      6.50     6.70     6.50     6.60   0.00     19       240351        1.575
MBL1STMF       6.90     7.00     6.90     6.90  -1.43     25       296261        2.054
NCCBLMF1       6.80     6.80     6.80     6.80   0.00     12       190100        1.293
PF1STMF        4.50     4.60     4.50     4.60   0.00      3         6600        0.030
PHPMF1         4.40     4.40     4.30     4.40   0.00     82       246573        1.075
POPULAR1MF     4.40     4.50     4.40     4.40   0.00     62       344114        1.517
PRIME1ICBA     5.00     5.10     5.00     5.10   0.00     20        14010        0.071
RELIANCE1      8.00     8.00     7.90     8.00   1.27      7        12950        0.104
SEBL1STMF     11.70    11.70    11.70    11.70   0.00      2          200        0.002
SEMLLECMF      9.70     9.70     9.70     9.70   4.30      1          130        0.001
TRUSTB1MF      4.90     4.90     4.80     4.90   0.00     65       389373        1.905
VAMLBDMF1      9.00     9.00     8.60     8.90   1.14      4         1510        0.013
                                                      ------    ---------    ---------
                                                         746      3154387       17.965

MUTUAL FUNDs traded in Public Market              =   32



CORPORATE BONDs
---------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

BRACSCBOND  1040.00  1040.00  1040.00  1040.00   0.97      1            3        0.003
IBBLPBOND    971.50   972.00   970.00   971.00   0.31     15         1007        0.978
                                                      ------    ---------    ---------
                                                          16         1010        0.981

CORPORATE BONDs traded in Debt Market             =    2




                   PRICES IN SPOT TRANSACTIONS : 2016-11-17

                   ========================================
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

AGNISYSL      18.30    18.60    18.30    18.50   1.09    336       549532       10.111
ANLIMAYARN    26.40    26.80    26.20    26.60   1.53    214       182175        4.826
APOLOISPAT    16.10    16.30    16.00    16.10   0.00    665      1899224       30.723
BEACHHATCH     8.50     8.60     8.20     8.40  -1.18     81       104577        0.877
BEACONPHAR    18.90    19.50    18.80    19.00   1.06   1653      3733601       71.429
CONFIDCEM    115.60   115.60   109.00   109.90  -4.10   1548       611389       68.047
CVOPRL       194.90   195.00   191.40   193.30   0.00    665        87106       16.870
DACCADYE       6.80     6.90     6.70     6.80   0.00     73       151185        1.026
DAFODILCOM    33.70    34.20    33.50    33.90   0.89    631       990446       33.578
DELTASPINN     8.50     8.50     8.20     8.40  -1.18    201       593641        4.973
DESHBANDHU     8.60     8.60     8.30     8.40  -1.18    118       150732        1.273
FINEFOODS     19.90    20.10    19.10    19.30  -2.53    426       304017        5.891
GPHISPAT      28.60    29.00    28.40    28.80   1.05    281       370887       10.655
IMAMBUTTON    10.20    10.90    10.20    10.70   0.94     40        16898        0.178
ISNLTD        13.10    13.10    12.00    12.10  -3.20     19         7957        0.096
JUTESPINN     55.80    55.80    54.20    54.30   1.50      5          851        0.046
KAY&amp;QUE       28.50    29.00    26.00    27.60  -3.16    124        39542        1.106
KBPPWBIL      17.40    17.50    17.10    17.20   0.00    582       996046       17.160
KPPL           7.00     7.00     6.80     6.80  -1.45     69        77107        0.527
LEGACYFOOT    18.40    18.70    18.20    18.60   1.64    131        88048        1.621
MEGCONMILK     7.00     7.20     6.90     7.00   1.45     43        50205        0.352
MEGHNAPET      5.40     5.40     5.30     5.30  -1.85     26        19275        0.103
METROSPIN      6.30     6.50     6.30     6.30   0.00    162       368500        2.336
MODERNDYE    190.00   190.00   182.60   184.60  -1.76     76         2144        0.400
OLYMPIC      305.20   310.00   305.00   306.30  -0.78    591       137753       42.241
PRIMETEX      21.80    22.60    21.80    22.30  -0.89    139        93429        2.077
PTL           21.30    21.50    21.00    21.30   1.43    607      2406113       51.178
RECKITTBEN  1580.00  1590.00  1571.00  1578.60  -0.12     23          238        0.376
SAIHAMTEX     13.60    14.00    13.60    13.90   1.46     70       172052        2.386
SAMATALETH    24.10    24.10    24.00    24.00  -1.23      3         1006        0.024
SINOBANGLA    23.40    23.70    23.20    23.40   0.43    268       178612        4.198
                                                      ------    ---------    ---------
                                                        9870     14384288      386.683

Total number of scrips traded in Spot Market      =   31




           PRICES IN SPOT TRANSACTIONS (Treasury BONDs) : 2016-11-17
           =========================================================



Total number of BONDs traded in Spot Market       =    0




                    PRICES IN BLOCK TRANSACTIONS : 2016-11-17
                    =========================================

Instr Code    Max Price    Min Price    Trades    Quantity    Value(In Mn)

MBL1STMF           7.00         6.90         2     8500000          59.075
NHFIL             54.40        54.40         1      400000          21.760
PURABIGEN         16.90        16.90         1      100000           1.690
                                        ------    --------    ------------
                                             4     9000000          82.525

Total number of scrips traded in Block            =    3




           TOP 10 GAINERS (Based on Open Price and Last Trade Price)
           =========================================================

Instr Code        Open        High         Low        Last     Deviation

ABBANK           17.70       19.40       17.70       19.40         9.604
MITHUNKNIT       63.20       67.40       61.00       67.40         6.646
ANWARGALV        68.50       73.00       68.50       73.00         6.569
FORTUNE          43.80       46.90       43.80       46.40         5.936
PARAMOUNT        18.80       20.20       18.80       19.80         5.319
FUWANGCER        13.50       14.30       13.50       14.20         5.185
CMCKAMAL         14.00       14.70       14.00       14.70         5.000
PRIMEINSUR       16.30       17.20       16.30       17.10         4.908
NORTHERN        208.80  
